Date,City,Gold_Purity,Gold_Price_per_10g,Jewellery_Shop,Demand_Level,Festival_Season,Import_Duty_%,USD_INR_Rate
2020-11-18,Mumbai,22K,39873,PC Jeweller,Low,No,15.0,82.36
2020-11-19,Delhi,22K,39966,Malabar Gold,High,No,10.0,82.36
2020-11-20,Kolkata,22K,40038,Local Shop,High,No,15.0,82.36
2020-11-21,Mumbai,24K,39931,Local Shop,Low,No,10.0,82.36
2020-11-22,Kolkata,24K,40010,Malabar Gold,High,No,15.0,82.36
2020-11-23,Kolkata,24K,40029,Local Shop,Medium,No,10.0,82.36
2020-11-24,Mumbai,22K,40073,Malabar Gold,Medium,No,12.5,82.36
2020-11-25,Delhi,24K,40079,Kalyan Jewellers,Medium,Yes,12.5,82.36
2020-11-26,Delhi,22K,40073,Kalyan Jewellers,High,No,10.0,82.36
2020-11-27,Chennai,22K,40108,Malabar Gold,Low,No,15.0,82.36
2020-11-28,Mumbai,24K,40201,Local Shop,High,Yes,10.0,82.36
2020-11-29,Hyderabad,22K,40112,Tanishq,Low,No,10.0,82.36
2020-11-30,Delhi,24K,40136,Kalyan Jewellers,Medium,No,12.5,82.36
2020-12-01,Delhi,24K,40195,Malabar Gold,High,No,15.0,82.36
2020-12-02,Chennai,24K,40121,PC Jeweller,Medium,Yes,10.0,82.36
2020-12-03,Mumbai,24K,40224,PC Jeweller,High,Yes,10.0,82.36
2020-12-04,Chennai,24K,40124,Local Shop,Medium,No,15.0,82.36
2020-12-05,Kolkata,24K,40174,Tanishq,Low,No,10.0,82.36
2020-12-06,Delhi,24K,40144,Tanishq,Low,No,10.0,82.36
2020-12-07,Chennai,22K,40155,PC Jeweller,Low,No,15.0,82.36
2020-12-08,Chennai,22K,40081,Kalyan Jewellers,Medium,No,15.0,82.36
2020-12-09,Mumbai,24K,40034,Malabar Gold,High,Yes,10.0,82.36
2020-12-10,Mumbai,22K,40103,PC Jeweller,Low,No,12.5,82.36
2020-12-11,Mumbai,24K,40120,Malabar Gold,Low,Yes,12.5,82.36
2020-12-12,Delhi,22K,40213,Malabar Gold,Medium,No,10.0,82.36
2020-12-13,Mumbai,22K,40098,Malabar Gold,Medium,No,12.5,82.36
2020-12-14,Delhi,24K,40096,Local Shop,High,No,12.5,82.36
2020-12-15,Mumbai,22K,40110,PC Jeweller,High,No,15.0,82.36
2020-12-16,Delhi,22K,40255,Kalyan Jewellers,Low,No,10.0,82.36
2020-12-17,Mumbai,22K,40354,Local Shop,High,Yes,15.0,82.36
2020-12-18,Chennai,24K,40248,Tanishq,High,No,10.0,82.36
2020-12-19,Delhi,22K,40256,Kalyan Jewellers,High,Yes,15.0,82.36
2020-12-20,Mumbai,22K,40146,PC Jeweller,Medium,No,15.0,82.36
2020-12-21,Chennai,22K,40222,Kalyan Jewellers,Low,Yes,10.0,82.36
2020-12-22,Kolkata,22K,40268,PC Jeweller,Low,No,12.5,82.36
2020-12-23,Chennai,24K,40319,PC Jeweller,High,No,10.0,82.36
2020-12-24,Delhi,22K,40435,Tanishq,High,No,15.0,82.36
2020-12-25,Kolkata,22K,40491,Kalyan Jewellers,Medium,Yes,15.0,82.36
2020-12-26,Kolkata,22K,40482,PC Jeweller,Low,Yes,10.0,82.36
2020-12-27,Kolkata,24K,40411,Tanishq,Medium,Yes,12.5,82.36
2020-12-28,Chennai,24K,40461,Malabar Gold,High,No,12.5,82.36
2020-12-29,Hyderabad,24K,40487,Tanishq,Medium,No,15.0,82.36
2020-12-30,Kolkata,24K,40535,PC Jeweller,Low,Yes,12.5,82.36
2020-12-31,Kolkata,24K,40618,Tanishq,Medium,Yes,15.0,82.36
2021-01-01,Chennai,24K,40501,Kalyan Jewellers,Low,Yes,15.0,82.36
2021-01-02,Delhi,22K,40648,Malabar Gold,High,Yes,15.0,82.36
2021-01-03,Mumbai,24K,40750,Malabar Gold,Low,No,15.0,82.36
2021-01-04,Chennai,22K,40673,Local Shop,Low,Yes,15.0,82.36
2021-01-05,Delhi,22K,40627,PC Jeweller,Medium,Yes,12.5,82.36
2021-01-06,Mumbai,24K,40658,PC Jeweller,Medium,Yes,15.0,82.36
2021-01-07,Hyderabad,22K,40716,Malabar Gold,Low,Yes,12.5,82.36
2021-01-08,Kolkata,22K,40761,PC Jeweller,Low,No,12.5,82.36
2021-01-09,Chennai,24K,40684,Local Shop,High,No,15.0,82.36
2021-01-10,Mumbai,24K,40583,Kalyan Jewellers,Low,Yes,10.0,82.36
2021-01-11,Chennai,22K,40618,Kalyan Jewellers,Medium,Yes,15.0,82.36
2021-01-12,Kolkata,22K,40511,PC Jeweller,High,No,10.0,82.36
2021-01-13,Chennai,22K,40570,PC Jeweller,High,No,15.0,82.36
2021-01-14,Mumbai,24K,40489,Local Shop,Medium,No,12.5,82.36
2021-01-15,Kolkata,22K,40484,Local Shop,Medium,Yes,10.0,82.36
2021-01-16,Delhi,22K,40454,PC Jeweller,High,No,15.0,82.36
2021-01-17,Mumbai,24K,40460,Kalyan Jewellers,Medium,Yes,15.0,82.36
2021-01-18,Hyderabad,24K,40470,Local Shop,High,Yes,15.0,82.36
2021-01-19,Chennai,24K,40583,Malabar Gold,High,No,15.0,82.36
2021-01-20,Delhi,22K,40607,Local Shop,Low,No,12.5,82.36
2021-01-21,Hyderabad,22K,40554,Local Shop,Medium,No,15.0,82.36
2021-01-22,Hyderabad,24K,40681,Tanishq,Medium,No,12.5,82.36
2021-01-23,Kolkata,24K,40654,PC Jeweller,High,No,15.0,82.36
2021-01-24,Chennai,22K,40679,Kalyan Jewellers,High,No,15.0,82.36
2021-01-25,Hyderabad,24K,40750,Tanishq,Low,No,12.5,82.36
2021-01-26,Hyderabad,24K,40818,Tanishq,Medium,No,15.0,82.36
2021-01-27,Kolkata,22K,40865,PC Jeweller,Medium,No,10.0,82.36
2021-01-28,Hyderabad,24K,40809,Malabar Gold,Medium,No,10.0,82.36
2021-01-29,Delhi,24K,40757,Kalyan Jewellers,High,No,15.0,82.36
2021-01-30,Delhi,22K,40864,Local Shop,Low,No,12.5,82.36
2021-01-31,Kolkata,24K,40782,PC Jeweller,Low,No,12.5,82.36
2021-02-01,Hyderabad,22K,40754,Malabar Gold,High,Yes,10.0,82.36
2021-02-02,Mumbai,24K,40718,Local Shop,Medium,No,12.5,82.36
2021-02-03,Chennai,22K,40727,Tanishq,High,No,15.0,82.36
2021-02-04,Kolkata,22K,40719,PC Jeweller,Medium,No,15.0,82.36
2021-02-05,Delhi,22K,40669,PC Jeweller,Medium,Yes,15.0,82.36
2021-02-06,Kolkata,22K,40684,Kalyan Jewellers,High,No,10.0,82.36
2021-02-07,Chennai,24K,40659,Malabar Gold,Medium,No,12.5,82.36
2021-02-08,Delhi,24K,40670,Malabar Gold,Medium,No,12.5,82.36
2021-02-09,Hyderabad,22K,40749,Local Shop,High,No,10.0,82.36
2021-02-10,Chennai,24K,40751,Kalyan Jewellers,High,Yes,10.0,82.36
2021-02-11,Mumbai,24K,40774,PC Jeweller,Low,No,12.5,82.36
2021-02-12,Mumbai,22K,40664,Local Shop,Medium,No,15.0,82.36
2021-02-13,Delhi,24K,40736,PC Jeweller,Medium,No,10.0,82.36
2021-02-14,Chennai,24K,40670,Tanishq,Medium,No,12.5,82.36
2021-02-15,Hyderabad,24K,40642,PC Jeweller,Medium,No,15.0,82.36
2021-02-16,Chennai,22K,40762,Local Shop,Low,No,10.0,82.36
2021-02-17,Delhi,22K,40780,Kalyan Jewellers,High,No,15.0,82.36
2021-02-18,Hyderabad,22K,40749,Malabar Gold,Medium,No,10.0,82.36
2021-02-19,Hyderabad,24K,40811,Malabar Gold,High,No,12.5,82.36
2021-02-20,Mumbai,22K,40694,PC Jeweller,Low,Yes,15.0,82.36
2021-02-21,Kolkata,22K,40669,PC Jeweller,Medium,Yes,15.0,82.36
2021-02-22,Hyderabad,22K,40665,PC Jeweller,Medium,Yes,15.0,82.36
2021-02-23,Hyderabad,24K,40592,Tanishq,High,No,12.5,82.36
2021-02-24,Kolkata,22K,40583,PC Jeweller,Low,Yes,12.5,82.36
2021-02-25,Mumbai,22K,40613,Kalyan Jewellers,High,No,10.0,82.36
2021-02-26,Hyderabad,22K,40736,Local Shop,Medium,No,12.5,82.36
2021-02-27,Hyderabad,22K,40648,Kalyan Jewellers,Medium,Yes,10.0,82.36
2021-02-28,Hyderabad,22K,40761,PC Jeweller,Low,Yes,10.0,82.36
2021-03-01,Hyderabad,24K,40783,PC Jeweller,Medium,No,10.0,82.36
2021-03-02,Mumbai,22K,40928,Tanishq,Low,No,15.0,82.36
2021-03-03,Chennai,22K,41067,Local Shop,Medium,No,15.0,82.36
2021-03-04,Chennai,24K,40973,Kalyan Jewellers,Medium,Yes,10.0,82.36
2021-03-05,Mumbai,22K,41031,Malabar Gold,Low,No,12.5,82.36
2021-03-06,Chennai,24K,41019,Kalyan Jewellers,Low,Yes,15.0,82.36
2021-03-07,Chennai,22K,40963,PC Jeweller,Medium,Yes,10.0,82.36
2021-03-08,Chennai,22K,40919,Kalyan Jewellers,Medium,No,10.0,82.36
2021-03-09,Kolkata,22K,40921,Kalyan Jewellers,Low,No,10.0,82.36
2021-03-10,Mumbai,22K,40824,Kalyan Jewellers,Medium,No,12.5,82.36
2021-03-11,Hyderabad,24K,40824,Tanishq,High,No,10.0,82.36
2021-03-12,Mumbai,22K,40848,Tanishq,High,Yes,15.0,82.36
2021-03-13,Chennai,22K,40811,Tanishq,Medium,Yes,12.5,82.36
2021-03-14,Chennai,22K,40957,Local Shop,Medium,Yes,12.5,82.36
2021-03-15,Hyderabad,22K,40999,Local Shop,Low,No,15.0,82.36
2021-03-16,Hyderabad,22K,40958,Malabar Gold,High,No,12.5,82.36
2021-03-17,Hyderabad,22K,41095,PC Jeweller,Medium,No,15.0,82.36
2021-03-18,Kolkata,24K,41015,Tanishq,Medium,No,10.0,82.36
2021-03-19,Kolkata,24K,41146,Malabar Gold,Medium,No,12.5,82.36
2021-03-20,Hyderabad,24K,41199,Tanishq,Low,No,12.5,82.36
2021-03-21,Kolkata,24K,41278,Local Shop,Low,No,12.5,82.36
2021-03-22,Kolkata,22K,41314,Tanishq,Medium,No,10.0,82.36
2021-03-23,Hyderabad,24K,41253,Kalyan Jewellers,Medium,No,15.0,82.36
2021-03-24,Hyderabad,24K,41309,Malabar Gold,High,No,10.0,82.36
2021-03-25,Delhi,22K,41367,Kalyan Jewellers,High,No,12.5,82.36
2021-03-26,Delhi,22K,41472,Malabar Gold,Medium,No,12.5,82.36
2021-03-27,Chennai,24K,41512,Malabar Gold,Medium,Yes,15.0,82.36
2021-03-28,Delhi,22K,41633,Tanishq,Low,No,15.0,82.36
2021-03-29,Mumbai,22K,41523,PC Jeweller,Medium,No,15.0,82.36
2021-03-30,Kolkata,24K,41538,Local Shop,High,No,12.5,82.36
2021-03-31,Mumbai,24K,41497,Tanishq,Medium,No,12.5,82.36
2021-04-01,Mumbai,24K,41523,Tanishq,Medium,No,15.0,82.36
2021-04-02,Mumbai,22K,41524,Tanishq,High,No,10.0,82.36
2021-04-03,Mumbai,22K,41669,Malabar Gold,High,No,10.0,82.36
2021-04-04,Hyderabad,24K,41598,Local Shop,High,No,12.5,82.36
2021-04-05,Chennai,24K,41691,Malabar Gold,High,No,12.5,82.36
2021-04-06,Hyderabad,22K,41641,PC Jeweller,Medium,Yes,10.0,82.36
2021-04-07,Delhi,24K,41563,Kalyan Jewellers,Low,No,15.0,82.36
2021-04-08,Delhi,22K,41689,Local Shop,High,Yes,10.0,82.36
2021-04-09,Chennai,22K,41798,Tanishq,Medium,No,10.0,82.36
2021-04-10,Delhi,22K,41883,Malabar Gold,Low,Yes,10.0,82.36
2021-04-11,Kolkata,22K,41993,PC Jeweller,Medium,No,12.5,82.36
2021-04-12,Mumbai,24K,41972,PC Jeweller,High,No,10.0,82.36
2021-04-13,Delhi,22K,41860,Kalyan Jewellers,Low,No,15.0,82.36
2021-04-14,Kolkata,22K,41881,Local Shop,High,Yes,15.0,82.36
2021-04-15,Delhi,22K,41930,Tanishq,Low,No,12.5,82.36
2021-04-16,Kolkata,24K,41835,Tanishq,High,No,15.0,82.36
2021-04-17,Delhi,24K,41758,Malabar Gold,Low,No,12.5,82.36
2021-04-18,Mumbai,24K,41655,Tanishq,Low,No,12.5,82.36
2021-04-19,Chennai,24K,41595,Malabar Gold,Low,Yes,15.0,82.36
2021-04-20,Hyderabad,24K,41693,Local Shop,Low,No,10.0,82.36
2021-04-21,Chennai,22K,41781,Local Shop,Medium,Yes,10.0,82.36
2021-04-22,Kolkata,22K,41927,PC Jeweller,Medium,Yes,12.5,82.36
2021-04-23,Mumbai,22K,41918,Tanishq,Medium,No,15.0,82.36
2021-04-24,Hyderabad,22K,42042,Tanishq,Medium,No,15.0,82.36
2021-04-25,Hyderabad,24K,42032,Kalyan Jewellers,Medium,No,10.0,82.36
2021-04-26,Delhi,24K,42113,Tanishq,Medium,Yes,15.0,82.36
2021-04-27,Chennai,24K,42192,PC Jeweller,Low,No,15.0,82.36
2021-04-28,Chennai,24K,42261,PC Jeweller,Low,No,10.0,82.36
2021-04-29,Chennai,22K,42381,Malabar Gold,Low,No,15.0,82.36
2021-04-30,Delhi,24K,42287,Tanishq,Low,No,15.0,82.36
2021-05-01,Kolkata,22K,42327,PC Jeweller,Low,Yes,12.5,82.36
2021-05-02,Chennai,22K,42237,Tanishq,Medium,No,10.0,82.36
2021-05-03,Kolkata,22K,42136,Tanishq,High,No,15.0,82.36
2021-05-04,Hyderabad,22K,42134,Local Shop,High,No,15.0,82.36
2021-05-05,Delhi,22K,42255,Kalyan Jewellers,Medium,Yes,10.0,82.36
2021-05-06,Delhi,24K,42170,Kalyan Jewellers,Medium,No,10.0,82.36
2021-05-07,Delhi,22K,42130,Kalyan Jewellers,Medium,Yes,12.5,82.36
2021-05-08,Chennai,22K,42095,Tanishq,Medium,Yes,12.5,82.36
2021-05-09,Hyderabad,24K,42003,Malabar Gold,Medium,No,15.0,82.36
2021-05-10,Chennai,22K,41961,PC Jeweller,Low,No,12.5,82.36
2021-05-11,Delhi,24K,42087,Local Shop,Low,No,15.0,82.36
2021-05-12,Delhi,22K,42146,Local Shop,Medium,Yes,12.5,82.36
2021-05-13,Hyderabad,22K,42181,Tanishq,Low,No,10.0,82.36
2021-05-14,Chennai,24K,42260,Local Shop,Low,No,12.5,82.36
2021-05-15,Kolkata,22K,42379,Local Shop,Medium,No,15.0,82.36
2021-05-16,Delhi,24K,42460,Kalyan Jewellers,Medium,Yes,10.0,82.36
2021-05-17,Chennai,22K,42351,Kalyan Jewellers,High,No,15.0,82.36
2021-05-18,Mumbai,22K,42262,Kalyan Jewellers,Low,No,12.5,82.36
2021-05-19,Chennai,24K,42334,Kalyan Jewellers,Medium,No,12.5,82.36
2021-05-20,Hyderabad,22K,42356,Tanishq,High,No,10.0,82.36
2021-05-21,Chennai,24K,42304,Kalyan Jewellers,High,No,12.5,82.36
2021-05-22,Hyderabad,24K,42394,Kalyan Jewellers,Medium,Yes,12.5,82.36
2021-05-23,Hyderabad,24K,42444,Local Shop,High,Yes,15.0,82.36
2021-05-24,Chennai,24K,42368,Kalyan Jewellers,Medium,Yes,15.0,82.36
2021-05-25,Kolkata,22K,42495,PC Jeweller,Medium,No,12.5,82.36
2021-05-26,Mumbai,22K,42375,Local Shop,Low,No,12.5,82.36
2021-05-27,Chennai,22K,42450,Malabar Gold,Medium,No,10.0,82.36
2021-05-28,Kolkata,24K,42435,PC Jeweller,High,No,12.5,82.36
2021-05-29,Kolkata,22K,42462,Malabar Gold,High,Yes,12.5,82.36
2021-05-30,Chennai,24K,42386,Tanishq,Medium,No,15.0,82.36
2021-05-31,Delhi,22K,42396,Malabar Gold,High,Yes,10.0,82.36
2021-06-01,Delhi,22K,42489,Malabar Gold,Low,Yes,12.5,82.36
2021-06-02,Hyderabad,22K,42544,Local Shop,Medium,No,15.0,82.36
2021-06-03,Hyderabad,22K,42680,Local Shop,Low,Yes,10.0,82.36
2021-06-04,Delhi,22K,42579,PC Jeweller,High,No,10.0,82.36
2021-06-05,Mumbai,24K,42528,Tanishq,Low,Yes,12.5,82.36
2021-06-06,Delhi,22K,42441,Kalyan Jewellers,High,No,12.5,82.36
2021-06-07,Chennai,24K,42536,Tanishq,Medium,Yes,15.0,82.36
2021-06-08,Kolkata,22K,42629,Local Shop,High,Yes,15.0,82.36
2021-06-09,Chennai,24K,42745,Kalyan Jewellers,High,No,10.0,82.36
2021-06-10,Chennai,22K,42883,Tanishq,High,No,10.0,82.36
2021-06-11,Mumbai,22K,42905,Kalyan Jewellers,Medium,Yes,12.5,82.36
2021-06-12,Mumbai,24K,43027,Kalyan Jewellers,Low,No,12.5,82.36
2021-06-13,Chennai,22K,42982,Malabar Gold,High,No,12.5,82.36
2021-06-14,Kolkata,24K,43087,Tanishq,Medium,No,12.5,82.36
2021-06-15,Kolkata,24K,43138,Tanishq,Low,No,15.0,82.36
2021-06-16,Hyderabad,22K,43164,Malabar Gold,Medium,No,10.0,82.36
2021-06-17,Mumbai,22K,43146,Malabar Gold,Low,Yes,10.0,82.36
2021-06-18,Kolkata,22K,43030,PC Jeweller,Medium,No,10.0,82.36
2021-06-19,Mumbai,22K,42915,PC Jeweller,Medium,No,12.5,82.36
2021-06-20,Kolkata,22K,43055,Kalyan Jewellers,Low,No,15.0,82.36
2021-06-21,Mumbai,22K,42965,Local Shop,High,No,10.0,82.36
2021-06-22,Mumbai,22K,42951,Kalyan Jewellers,High,No,10.0,82.36
2021-06-23,Hyderabad,24K,43052,PC Jeweller,Medium,No,12.5,82.36
2021-06-24,Delhi,24K,43070,Tanishq,Medium,No,15.0,82.36
2021-06-25,Hyderabad,22K,43196,Tanishq,Medium,Yes,15.0,82.36
2021-06-26,Hyderabad,24K,43159,Kalyan Jewellers,Low,No,15.0,82.36
2021-06-27,Mumbai,24K,43230,Kalyan Jewellers,Medium,No,10.0,82.36
2021-06-28,Delhi,22K,43328,Tanishq,Medium,No,15.0,82.36
2021-06-29,Delhi,24K,43240,PC Jeweller,High,Yes,12.5,82.36
2021-06-30,Kolkata,22K,43364,Malabar Gold,Medium,Yes,12.5,82.36
2021-07-01,Chennai,24K,43355,Tanishq,Low,Yes,12.5,82.36
2021-07-02,Delhi,24K,43391,Local Shop,Low,No,10.0,82.36
2021-07-03,Delhi,22K,43536,Kalyan Jewellers,Medium,No,10.0,82.36
2021-07-04,Mumbai,22K,43487,Kalyan Jewellers,Low,No,15.0,82.36
2021-07-05,Kolkata,22K,43458,Malabar Gold,Low,No,15.0,82.36
2021-07-06,Chennai,24K,43582,Malabar Gold,High,No,10.0,82.36
2021-07-07,Delhi,22K,43702,Local Shop,Low,No,12.5,82.36
2021-07-08,Hyderabad,22K,43685,Malabar Gold,Low,Yes,10.0,82.36
2021-07-09,Delhi,24K,43633,Tanishq,Medium,Yes,15.0,82.36
2021-07-10,Mumbai,24K,43641,Malabar Gold,Medium,Yes,15.0,82.36
2021-07-11,Chennai,22K,43740,Local Shop,Medium,Yes,12.5,82.36
2021-07-12,Hyderabad,22K,43721,Tanishq,Medium,No,10.0,82.36
2021-07-13,Delhi,24K,43744,Tanishq,Medium,No,10.0,82.36
2021-07-14,Mumbai,24K,43821,Local Shop,Low,No,10.0,82.36
2021-07-15,Hyderabad,24K,43832,Local Shop,High,No,15.0,82.36
2021-07-16,Mumbai,22K,43756,Tanishq,Medium,No,10.0,82.36
2021-07-17,Kolkata,22K,43814,Kalyan Jewellers,Medium,Yes,12.5,82.36
2021-07-18,Mumbai,22K,43799,Kalyan Jewellers,High,No,12.5,82.36
2021-07-19,Delhi,22K,43804,Local Shop,Medium,No,15.0,82.36
2021-07-20,Kolkata,24K,43945,Malabar Gold,Low,No,15.0,82.36
2021-07-21,Mumbai,22K,43899,Kalyan Jewellers,High,No,12.5,82.36
2021-07-22,Delhi,22K,43810,Malabar Gold,Low,No,10.0,82.36
2021-07-23,Chennai,22K,43732,Local Shop,Low,No,15.0,82.36
2021-07-24,Chennai,22K,43789,Local Shop,Medium,Yes,12.5,82.36
2021-07-25,Chennai,24K,43745,Kalyan Jewellers,Medium,No,10.0,82.36
2021-07-26,Delhi,22K,43677,Local Shop,Low,Yes,15.0,82.36
2021-07-27,Hyderabad,22K,43805,Kalyan Jewellers,Medium,No,12.5,82.36
2021-07-28,Hyderabad,24K,43868,Tanishq,Medium,Yes,12.5,82.36
2021-07-29,Chennai,24K,43823,PC Jeweller,High,No,10.0,82.36
2021-07-30,Kolkata,24K,43900,PC Jeweller,Low,Yes,10.0,82.36
2021-07-31,Delhi,24K,43838,Local Shop,High,Yes,10.0,82.36
2021-08-01,Chennai,22K,43940,PC Jeweller,High,Yes,12.5,82.36
2021-08-02,Chennai,24K,43859,Kalyan Jewellers,High,Yes,15.0,82.36
2021-08-03,Chennai,24K,43781,Malabar Gold,High,No,15.0,82.36
2021-08-04,Chennai,22K,43847,Malabar Gold,Medium,No,12.5,82.36
2021-08-05,Chennai,24K,43893,Tanishq,Medium,No,12.5,82.36
2021-08-06,Mumbai,22K,43919,PC Jeweller,High,No,10.0,82.36
2021-08-07,Mumbai,24K,44003,Local Shop,Low,No,10.0,82.36
2021-08-08,Mumbai,24K,44140,Local Shop,Medium,No,10.0,82.36
2021-08-09,Mumbai,22K,44163,Local Shop,High,No,10.0,82.36
2021-08-10,Chennai,22K,44130,Local Shop,Low,Yes,15.0,82.36
2021-08-11,Hyderabad,22K,44167,Malabar Gold,Low,Yes,12.5,82.36
2021-08-12,Hyderabad,22K,44143,Malabar Gold,Low,Yes,12.5,82.36
2021-08-13,Hyderabad,24K,44184,PC Jeweller,High,No,12.5,82.36
2021-08-14,Chennai,22K,44143,Malabar Gold,Low,No,12.5,82.36
2021-08-15,Mumbai,22K,44047,Malabar Gold,Medium,Yes,15.0,82.36
2021-08-16,Mumbai,22K,44103,Kalyan Jewellers,Medium,No,15.0,82.36
2021-08-17,Kolkata,24K,44163,PC Jeweller,High,No,12.5,82.36
2021-08-18,Chennai,22K,44310,Kalyan Jewellers,Low,Yes,15.0,82.36
2021-08-19,Chennai,22K,44401,Kalyan Jewellers,High,Yes,10.0,82.36
2021-08-20,Hyderabad,24K,44407,Kalyan Jewellers,Low,No,15.0,82.36
2021-08-21,Kolkata,22K,44423,Kalyan Jewellers,Low,No,12.5,82.36
2021-08-22,Chennai,24K,44464,Tanishq,Low,No,12.5,82.36
2021-08-23,Chennai,22K,44548,Kalyan Jewellers,High,No,15.0,82.36
2021-08-24,Hyderabad,22K,44540,PC Jeweller,Low,No,12.5,82.36
2021-08-25,Delhi,22K,44636,Local Shop,High,No,10.0,82.36
2021-08-26,Chennai,22K,44751,Local Shop,Low,No,15.0,82.36
2021-08-27,Hyderabad,22K,44669,Local Shop,Low,No,10.0,82.36
2021-08-28,Delhi,24K,44771,Kalyan Jewellers,Medium,No,10.0,82.36
2021-08-29,Mumbai,24K,44690,Malabar Gold,Low,No,10.0,82.36
2021-08-30,Chennai,24K,44637,Malabar Gold,Medium,Yes,10.0,82.36
2021-08-31,Delhi,22K,44564,Tanishq,Medium,Yes,10.0,82.36
2021-09-01,Hyderabad,24K,44618,Kalyan Jewellers,Low,No,15.0,82.36
2021-09-02,Hyderabad,24K,44708,Kalyan Jewellers,Medium,No,15.0,82.36
2021-09-03,Delhi,24K,44786,Local Shop,High,No,10.0,82.36
2021-09-04,Kolkata,22K,44760,Tanishq,Medium,Yes,12.5,82.36
2021-09-05,Mumbai,22K,44838,Local Shop,Medium,Yes,12.5,82.36
2021-09-06,Mumbai,22K,44833,Tanishq,High,No,12.5,82.36
2021-09-07,Hyderabad,24K,44737,PC Jeweller,Low,No,12.5,82.36
2021-09-08,Chennai,24K,44861,Tanishq,Medium,No,15.0,82.36
2021-09-09,Mumbai,22K,44914,Tanishq,Medium,No,12.5,82.36
2021-09-10,Mumbai,22K,44887,Kalyan Jewellers,Medium,No,15.0,82.36
2021-09-11,Kolkata,22K,44947,Tanishq,Low,Yes,15.0,82.36
2021-09-12,Chennai,22K,44929,PC Jeweller,Medium,No,10.0,82.36
2021-09-13,Chennai,22K,45017,Tanishq,Low,No,10.0,82.36
2021-09-14,Kolkata,22K,44957,Malabar Gold,High,Yes,15.0,82.36
2021-09-15,Delhi,24K,45076,Kalyan Jewellers,Medium,No,10.0,82.36
2021-09-16,Hyderabad,22K,45143,Kalyan Jewellers,High,No,10.0,82.36
2021-09-17,Chennai,24K,45188,Kalyan Jewellers,Low,No,12.5,82.36
2021-09-18,Mumbai,22K,45098,Tanishq,Low,No,12.5,82.36
2021-09-19,Kolkata,24K,44986,PC Jeweller,High,No,15.0,82.36
2021-09-20,Kolkata,24K,44960,PC Jeweller,Low,Yes,12.5,82.36
2021-09-21,Mumbai,22K,44888,Tanishq,Low,No,12.5,82.36
2021-09-22,Delhi,24K,44960,PC Jeweller,Low,Yes,12.5,82.36
2021-09-23,Mumbai,22K,45041,Malabar Gold,High,No,10.0,82.36
2021-09-24,Chennai,22K,44984,Kalyan Jewellers,High,No,10.0,82.36
2021-09-25,Delhi,24K,45115,Tanishq,Medium,No,12.5,82.36
2021-09-26,Delhi,24K,45160,Tanishq,Low,Yes,15.0,82.36
2021-09-27,Hyderabad,24K,45297,PC Jeweller,Medium,Yes,15.0,82.36
2021-09-28,Chennai,22K,45245,Kalyan Jewellers,High,No,12.5,82.36
2021-09-29,Kolkata,24K,45139,Local Shop,Medium,No,15.0,82.36
2021-09-30,Delhi,22K,45242,Malabar Gold,Medium,No,15.0,82.36
2021-10-01,Delhi,22K,45206,PC Jeweller,Low,Yes,15.0,82.36
2021-10-02,Hyderabad,22K,45175,Tanishq,Medium,Yes,15.0,82.36
2021-10-03,Kolkata,22K,45215,Local Shop,Medium,No,10.0,82.36
2021-10-04,Kolkata,22K,45212,Malabar Gold,Low,No,10.0,82.36
2021-10-05,Kolkata,24K,45195,Malabar Gold,Medium,No,10.0,82.36
2021-10-06,Mumbai,22K,45314,PC Jeweller,High,No,12.5,82.36
2021-10-07,Mumbai,24K,45280,Kalyan Jewellers,Medium,No,12.5,82.36
2021-10-08,Hyderabad,24K,45169,Malabar Gold,High,Yes,15.0,82.36
2021-10-09,Chennai,22K,45076,Malabar Gold,Medium,No,10.0,82.36
2021-10-10,Hyderabad,22K,45167,Malabar Gold,High,No,10.0,82.36
2021-10-11,Delhi,22K,45315,Malabar Gold,Medium,No,10.0,82.36
2021-10-12,Chennai,24K,45435,Tanishq,Low,No,12.5,82.36
2021-10-13,Mumbai,22K,45445,PC Jeweller,Medium,Yes,12.5,82.36
2021-10-14,Mumbai,22K,45427,PC Jeweller,High,Yes,10.0,82.36
2021-10-15,Mumbai,22K,45352,Tanishq,Medium,Yes,10.0,82.36
2021-10-16,Mumbai,24K,45451,Local Shop,High,Yes,10.0,82.36
2021-10-17,Mumbai,22K,45450,Local Shop,High,Yes,12.5,82.36
2021-10-18,Hyderabad,22K,45550,Tanishq,High,Yes,10.0,82.36
2021-10-19,Delhi,22K,45667,PC Jeweller,Medium,No,12.5,82.36
2021-10-20,Kolkata,22K,45626,Malabar Gold,Low,No,15.0,82.36
2021-10-21,Chennai,22K,45549,Tanishq,High,Yes,10.0,82.36
2021-10-22,Delhi,22K,45546,PC Jeweller,Medium,No,15.0,82.36
2021-10-23,Chennai,24K,45435,Kalyan Jewellers,Medium,Yes,15.0,82.36
2021-10-24,Chennai,24K,45341,Local Shop,Medium,No,12.5,82.36
2021-10-25,Hyderabad,24K,45363,PC Jeweller,Low,No,10.0,82.36
2021-10-26,Kolkata,22K,45355,PC Jeweller,High,Yes,15.0,82.36
2021-10-27,Kolkata,24K,45443,Kalyan Jewellers,High,No,12.5,82.36
2021-10-28,Mumbai,22K,45422,Kalyan Jewellers,Low,No,12.5,82.36
